"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"15061","NP-Inf-12-3-20-A","N1",2.94401693344116,"FAM",4.03475141525269,2.07064175605774,14004,35,13969,"NP-Inf",12/03/20,"Newport"
"15062","NP-Inf-12-3-20-A","N2",2.60718464851379,"FAM/HEX",3.64038634300232,1.79127168655396,14004,31,13973,"NP-Inf",12/03/20,"Newport"
"15063","NP-Inf-12-3-20-A","RP",4.71396970748901,"HEX",6.06437921524048,3.58139896392822,14004,56,13948,"NP-Inf",12/03/20,"Newport"
"15334","NP-Inf-12-10-20-A","N1",0.786323249340057,"FAM",1.4248548746109,0.374923259019852,13470,9,13461,"NP-Inf",12/10/20,"Newport"
"15335","NP-Inf-12-10-20-A","N2",0.873724937438965,"FAM/HEX",1.53941452503204,0.434946537017822,13470,10,13460,"NP-Inf",12/10/20,"Newport"
"15336","NP-Inf-12-10-20-A","RP",4.63815402984619,"HEX",6.00727605819702,3.4955587387085,13470,53,13417,"NP-Inf",12/10/20,"Newport"
"15337","NP-Inf-12-10-20-A","N1",0.569778561592102,"FAM",1.10985767841339,0.242040768265724,14457,7,14450,"NP-Inf",12/10/20,"Newport"
"15338","NP-Inf-12-10-20-A","N2",0.732623100280762,"FAM/HEX",1.32752311229706,0.349322915077209,14457,9,14448,"NP-Inf",12/10/20,"Newport"
"15339","NP-Inf-12-10-20-A","RP",4.15757608413696,"HEX",5.41049909591675,3.11549854278564,14457,51,14406,"NP-Inf",12/10/20,"Newport"
"15370","NP-Inf-12-9-20-A","N1",0.504338562488556,"FAM",1.09620332717896,0.177300810813904,11666,5,11661,"NP-Inf",12/09/20,"Newport"
"15371","NP-Inf-12-9-20-A","N2",1.10983037948608,"FAM/HEX",1.90864789485931,0.572945296764374,11666,11,11655,"NP-Inf",12/09/20,"Newport"
"15372","NP-Inf-12-9-20-A","RP",3.73723530769348,"HEX",5.0803861618042,2.65534782409668,11666,37,11629,"NP-Inf",12/09/20,"Newport"
"15373","NP-Inf-12-9-20-A","N1",1.15178954601288,"FAM",1.87025427818298,0.646344065666199,14307,14,14293,"NP-Inf",12/09/20,"Newport"
"15374","NP-Inf-12-9-20-A","N2",0.904882550239563,"FAM/HEX",1.55608797073364,0.467161506414413,14307,11,14296,"NP-Inf",12/09/20,"Newport"
"15375","NP-Inf-12-9-20-A","RP",3.95369601249695,"HEX",5.18510055541992,2.93525528907776,14307,48,14259,"NP-Inf",12/09/20,"Newport"
"15940","NP-Inf-12-16-20-A","N1",0.854682624340057,"FAM",1.50585460662842,0.425468862056732,13770,10,13760,"NP-Inf",12/16/20,"Newport"
"15941","NP-Inf-12-16-20-A","N2",1.62442815303802,"FAM/HEX",2.47335720062256,0.996534585952759,13770,19,13751,"NP-Inf",12/16/20,"Newport"
"15942","NP-Inf-12-16-20-A","RP",5.56656789779663,"HEX",7.03822708129883,4.3168511390686,13770,65,13705,"NP-Inf",12/16/20,"Newport"
"15943","NP-Inf-12-16-20-A","N1",1.11634051799774,"FAM",1.91984760761261,0.576305329799652,11598,11,11587,"NP-Inf",12/16/20,"Newport"
"15944","NP-Inf-12-16-20-A","N2",0.913290739059448,"FAM/HEX",1.65499842166901,0.435449719429016,11598,9,11589,"NP-Inf",12/16/20,"Newport"
"15945","NP-Inf-12-16-20-A","RP",4.16630077362061,"HEX",5.58142042160034,3.01411318778992,11598,41,11557,"NP-Inf",12/16/20,"Newport"
"15976","NP-Inf-12-17-20-A","N1",1.97416043281555,"FAM",2.89946436882019,1.27072203159332,13718,23,13695,"NP-Inf",12/17/20,"Newport"
"15977","NP-Inf-12-17-20-A","N2",1.37297821044922,"FAM/HEX",2.1654007434845,0.802654445171356,13718,16,13702,"NP-Inf",12/17/20,"Newport"
"15978","NP-Inf-12-17-20-A","RP",2.14598321914673,"HEX",3.10538721084595,1.4083536863327,13718,25,13693,"NP-Inf",12/17/20,"Newport"
"15979","NP-Inf-12-17-20-A","N1",2.13693356513977,"FAM",3.11471652984619,1.38927757740021,13225,24,13201,"NP-Inf",12/17/20,"Newport"
"15980","NP-Inf-12-17-20-A","N2",2.31518650054932,"FAM/HEX",3.32773089408875,1.53276717662811,13225,26,13199,"NP-Inf",12/17/20,"Newport"
"15981","NP-Inf-12-17-20-A","RP",3.02846932411194,"HEX",4.16874694824219,2.1183967590332,13225,34,13191,"NP-Inf",12/17/20,"Newport"
"16363","NP-Inf-12-23-20-A","N1",1.93861985206604,"FAM",2.80520749092102,1.27230501174927,15184,25,15159,"NP-Inf",12/23/20,"Newport"
"16364","NP-Inf-12-23-20-A","N2",2.09384751319885,"FAM/HEX",2.99014449119568,1.39781153202057,15184,27,15157,"NP-Inf",12/23/20,"Newport"
"16365","NP-Inf-12-23-20-A","RP",4.03592348098755,"HEX",5.23928833007812,3.03325653076172,15184,52,15132,"NP-Inf",12/23/20,"Newport"
"16366","NP-Inf-12-23-20-A","N1",1.35703122615814,"FAM",2.0885169506073,0.820439875125885,15614,18,15596,"NP-Inf",12/23/20,"Newport"
"16367","NP-Inf-12-23-20-A","N2",1.13075065612793,"FAM/HEX",1.80821371078491,0.648390293121338,15614,15,15599,"NP-Inf",12/23/20,"Newport"
"16368","NP-Inf-12-23-20-A","RP",4.00019264221191,"HEX",5.18058204650879,3.01495885848999,15614,53,15561,"NP-Inf",12/23/20,"Newport"
"16393","NP-Inf-12-24-20-A","N1",1.47116315364838,"FAM",2.32030940055847,0.860039293766022,12803,16,12787,"NP-Inf",12/24/20,"Newport"
"16394","NP-Inf-12-24-20-A","N2",1.93127906322479,"FAM/HEX",2.88456797599792,1.21578431129456,12803,21,12782,"NP-Inf",12/24/20,"Newport"
"16395","NP-Inf-12-24-20-A","RP",3.31270790100098,"HEX",4.52131414413452,2.34203839302063,12803,36,12767,"NP-Inf",12/24/20,"Newport"
"16396","NP-Inf-12-24-20-A","N1",1.885782122612,"FAM",2.79211831092834,1.20097935199738,13736,22,13714,"NP-Inf",12/24/20,"Newport"
"16397","NP-Inf-12-24-20-A","N2",1.79999899864197,"FAM/HEX",2.68841314315796,1.13316404819489,13736,21,13715,"NP-Inf",12/24/20,"Newport"
"16398","NP-Inf-12-24-20-A","RP",3.68867087364197,"HEX",4.90881872177124,2.69030165672302,13736,43,13693,"NP-Inf",12/24/20,"Newport"
"16657","NP-Inf-12-30-20-A","N1",1.17965579032898,"FAM",1.88644278049469,0.676427185535431,14967,15,14952,"NP-Inf",12/30/20,"Newport"
"16658","NP-Inf-12-30-20-A","N2",1.10097527503967,"FAM/HEX",1.78771889209747,0.617834806442261,14967,14,14953,"NP-Inf",12/30/20,"Newport"
"16659","NP-Inf-12-30-20-A","RP",2.20298171043396,"HEX",3.12702226638794,1.4821525812149,14967,28,14939,"NP-Inf",12/30/20,"Newport"
"16690","NP-Inf-12-31-20-A","N1",1.25409936904907,"FAM",2.00552725791931,0.719104290008545,14079,15,14064,"NP-Inf",12/31/20,"Newport"
"16691","NP-Inf-12-31-20-A","N2",0.66868668794632,"FAM/HEX",1.25234270095825,0.302700787782669,14079,8,14071,"NP-Inf",12/31/20,"Newport"
"16692","NP-Inf-12-31-20-A","RP",2.59328055381775,"HEX",3.62096357345581,1.78172218799591,14079,31,14048,"NP-Inf",12/31/20,"Newport"
"16789","NP-Inf-12-30-20-A","N1",1.44440841674805,"FAM",2.19917106628418,0.886124432086945,15485,19,15466,"NP-Inf",12/30/20,"Newport"
"16790","NP-Inf-12-30-20-A","N2",1.14017510414124,"FAM/HEX",1.82328903675079,0.653793215751648,15485,15,15470,"NP-Inf",12/30/20,"Newport"
"16791","NP-Inf-12-30-20-A","RP",2.35758113861084,"HEX",3.29172873497009,1.61983478069305,15485,31,15454,"NP-Inf",12/30/20,"Newport"
"16822","NP-Inf-12-31-20-A","N1",0.724898874759674,"FAM",1.3135232925415,0.345640510320663,14611,9,14602,"NP-Inf",12/31/20,"Newport"
"16823","NP-Inf-12-31-20-A","N2",0.724898874759674,"FAM/HEX",1.3135232925415,0.345640510320663,14611,9,14602,"NP-Inf",12/31/20,"Newport"
"16824","NP-Inf-12-31-20-A","RP",4.03287982940674,"HEX",5.26129722595215,3.01303029060364,14611,50,14561,"NP-Inf",12/31/20,"Newport"
"17353","NP-Inf-1-7-21-A","N1",3.57801580429077,"FAM",4.88361835479736,2.52952408790588,11855,36,11819,"NP-Inf",01/07/21,"Newport"
"17354","NP-Inf-1-7-21-A","N2",5.17174482345581,"FAM/HEX",6.71473693847656,3.88643312454224,11855,52,11803,"NP-Inf",01/07/21,"Newport"
"17355","NP-Inf-1-7-21-A","RP",2.8814377784729,"HEX",4.06706094741821,1.95274472236633,11855,29,11826,"NP-Inf",01/07/21,"Newport"
"17356","NP-Inf-1-7-21-A","N1",4.81769609451294,"FAM",6.23995685577393,3.63080263137817,12969,53,12916,"NP-Inf",01/07/21,"Newport"
"17357","NP-Inf-1-7-21-A","N2",5.27321529388428,"FAM/HEX",6.75578594207764,4.02614879608154,12969,58,12911,"NP-Inf",01/07/21,"Newport"
"17358","NP-Inf-1-7-21-A","RP",2.72457408905029,"HEX",3.82436370849609,1.85947394371033,12969,30,12939,"NP-Inf",01/07/21,"Newport"
"17623","NP-Inf-1-6-21-A","N1",0.812448561191559,"FAM",1.47220838069916,0.387377709150314,13037,9,13028,"NP-Inf",01/06/21,"Newport"
"17624","NP-Inf-1-6-21-A","N2",0.722148776054382,"FAM/HEX",1.35249555110931,0.326897948980331,13037,8,13029,"NP-Inf",01/06/21,"Newport"
"17625","NP-Inf-1-6-21-A","RP",2.16777753829956,"HEX",3.15969252586365,1.40932369232178,13037,24,13013,"NP-Inf",01/06/21,"Newport"
"17626","NP-Inf-1-6-21-A","N1",0.738911747932434,"FAM",1.33892107009888,0.352320909500122,14334,9,14325,"NP-Inf",01/06/21,"Newport"
"17627","NP-Inf-1-6-21-A","N2",0.738911747932434,"FAM/HEX",1.33892107009888,0.352320909500122,14334,9,14325,"NP-Inf",01/06/21,"Newport"
"17628","NP-Inf-1-6-21-A","RP",2.05367946624756,"HEX",2.97176504135132,1.34779536724091,14334,25,14309,"NP-Inf",01/06/21,"Newport"
"17803","NP-Inf-1-13-21-A","N1",0.512846827507019,"FAM",1.04849755764008,0.200838357210159,13767,6,13761,"NP-Inf",01/13/21,"Newport"
"17804","NP-Inf-1-13-21-A","N2",0.683845460414886,"FAM/HEX",1.2807400226593,0.309561789035797,13767,8,13759,"NP-Inf",01/13/21,"Newport"
"17805","NP-Inf-1-13-21-A","RP",2.22395253181458,"HEX",3.19654178619385,1.47238504886627,13767,26,13741,"NP-Inf",01/13/21,"Newport"
"17806","NP-Inf-1-13-21-A","N1",0.902132272720337,"FAM",1.58947992324829,0.449085175991058,13046,10,13036,"NP-Inf",01/13/21,"Newport"
"17807","NP-Inf-1-13-21-A","N2",0.992383480072021,"FAM/HEX",1.70660543441772,0.512326240539551,13046,11,13035,"NP-Inf",01/13/21,"Newport"
"17808","NP-Inf-1-13-21-A","RP",3.4317889213562,"HEX",4.64687252044678,2.45017838478088,13046,38,13008,"NP-Inf",01/13/21,"Newport"
"17839","NP-Inf-1-14-21-A","N1",1.25548803806305,"FAM",1.9800431728363,0.733983874320984,15001,16,14985,"NP-Inf",01/14/21,"Newport"
"17840","NP-Inf-1-14-21-A","N2",0.86300402879715,"FAM/HEX",1.48405241966248,0.445544868707657,15001,11,14990,"NP-Inf",01/14/21,"Newport"
"17841","NP-Inf-1-14-21-A","RP",3.37716674804688,"HEX",4.49407768249512,2.46319699287415,15001,43,14958,"NP-Inf",01/14/21,"Newport"
"17842","NP-Inf-1-14-21-A","N1",0.97652679681778,"FAM",1.64371645450592,0.520306527614594,14463,12,14451,"NP-Inf",01/14/21,"Newport"
"17843","NP-Inf-1-14-21-A","N2",0.97652679681778,"FAM/HEX",1.64371645450592,0.520306527614594,14463,12,14451,"NP-Inf",01/14/21,"Newport"
"17844","NP-Inf-1-14-21-A","RP",2.19832634925842,"HEX",3.13940620422363,1.46753776073456,14463,27,14436,"NP-Inf",01/14/21,"Newport"
"18529","NP-Inf-1-20-21-A","N1",0.637530028820038,"FAM",1.24186301231384,0.27081698179245,12921,7,12914,"NP-Inf",01/20/21,"Newport"
"18530","NP-Inf-1-20-21-A","N2",0.637530028820038,"FAM/HEX",1.24186301231384,0.27081698179245,12921,7,12914,"NP-Inf",01/20/21,"Newport"
"18531","NP-Inf-1-20-21-A","RP",3.7390284538269,"HEX",5.00871229171753,2.70513868331909,12921,41,12880,"NP-Inf",01/20/21,"Newport"
"18532","NP-Inf-1-20-21-A","N1",0.561695218086243,"FAM",1.05192315578461,0.254274278879166,16760,8,16752,"NP-Inf",01/20/21,"Newport"
"18533","NP-Inf-1-20-21-A","N2",0.421246260404587,"FAM/HEX",0.861188352108002,0.164970144629478,16760,6,16754,"NP-Inf",01/20/21,"Newport"
"18534","NP-Inf-1-20-21-A","RP",3.79665732383728,"HEX",4.90555191040039,2.86949396133423,16760,54,16706,"NP-Inf",01/20/21,"Newport"
"18565","NP-Inf-1-21-21-A","N1",3.88317179679871,"FAM",5.13619947433472,2.85331439971924,13656,45,13611,"NP-Inf",01/21/21,"Newport"
"18566","NP-Inf-1-21-21-A","N2",4.05605506896973,"FAM/HEX",5.33410453796387,3.00117135047913,13656,47,13609,"NP-Inf",01/21/21,"Newport"
"18567","NP-Inf-1-21-21-A","RP",5.18041610717773,"HEX",6.61025142669678,3.97419190406799,13656,60,13596,"NP-Inf",01/21/21,"Newport"
"18568","NP-Inf-1-21-21-A","N1",3.46246004104614,"FAM",4.60763454437256,2.52538251876831,14632,43,14589,"NP-Inf",01/21/21,"Newport"
"18569","NP-Inf-1-21-21-A","N2",4.59197521209717,"FAM/HEX",5.89476442337036,3.49761986732483,14632,57,14575,"NP-Inf",01/21/21,"Newport"
"18570","NP-Inf-1-21-21-A","RP",4.18845224380493,"HEX",5.43740034103394,3.14784097671509,14632,52,14580,"NP-Inf",01/21/21,"Newport"
"19351","NP-Inf-1-27-21-A","N1",2.38937997817993,"FAM",3.48284459114075,1.55334150791168,11829,24,11805,"NP-Inf",01/27/21,"Newport"
"19352","NP-Inf-1-27-21-A","N2",2.1900794506073,"FAM/HEX",3.2428674697876,1.39470887184143,11829,22,11807,"NP-Inf",01/27/21,"Newport"
"19353","NP-Inf-1-27-21-A","RP",2.48904275894165,"HEX",3.60205340385437,1.63341307640076,11829,25,11804,"NP-Inf",01/27/21,"Newport"
"19354","NP-Inf-1-27-21-A","N1",2.28774118423462,"FAM",3.17823147773743,1.58178460597992,16472,32,16440,"NP-Inf",01/27/21,"Newport"
"19355","NP-Inf-1-27-21-A","N2",1.85845077037811,"FAM/HEX",2.67101526260376,1.23046636581421,16472,26,16446,"NP-Inf",01/27/21,"Newport"
"19356","NP-Inf-1-27-21-A","RP",2.78877830505371,"HEX",3.76182889938354,2.00038552284241,16472,39,16433,"NP-Inf",01/27/21,"Newport"
"19375","NP-Inf-1-28-21-A","N1",1.57320928573608,"FAM",2.39534378051758,0.965121507644653,14218,19,14199,"NP-Inf",01/28/21,"Newport"
"19376","NP-Inf-1-28-21-A","N2",1.24183249473572,"FAM/HEX",1.98590385913849,0.71207195520401,14218,15,14203,"NP-Inf",01/28/21,"Newport"
"19377","NP-Inf-1-28-21-A","RP",3.23149514198303,"HEX",4.35930299758911,2.31782197952271,14218,39,14179,"NP-Inf",01/28/21,"Newport"
"19378","NP-Inf-1-28-21-A","N1",1.23950862884521,"FAM",2.0127375125885,0.695557653903961,13295,14,13281,"NP-Inf",01/28/21,"Newport"
"19379","NP-Inf-1-28-21-A","N2",1.15092885494232,"FAM/HEX",1.90096640586853,0.630303978919983,13295,13,13282,"NP-Inf",01/28/21,"Newport"
"19380","NP-Inf-1-28-21-A","RP",3.72245025634766,"HEX",4.96988773345947,2.70416522026062,13295,42,13253,"NP-Inf",01/28/21,"Newport"
"20047","NP-Inf-2-3-21-A","N1",0.181246429681778,"FAM",0.580630838871002,0.0274570398032665,12983,2,12981,"NP-Inf",02/03/21,"Newport"
"20048","NP-Inf-2-3-21-A","N2",0.181246429681778,"FAM/HEX",0.580630838871002,0.0274570398032665,12983,2,12981,"NP-Inf",02/03/21,"Newport"
"20049","NP-Inf-2-3-21-A","RP",4.44859552383423,"HEX",5.81906223297119,3.31305932998657,12983,49,12934,"NP-Inf",02/03/21,"Newport"
"20050","NP-Inf-2-3-21-A","N1",0.0938960537314415,"FAM",0.448515117168427,0.00394348334521055,12530,1,12529,"NP-Inf",02/03/21,"Newport"
"20051","NP-Inf-2-3-21-A","N2",0,"FAM/HEX",0.28133499622345,0,12530,0,12530,"NP-Inf",02/03/21,"Newport"
"20052","NP-Inf-2-3-21-A","RP",4.32699346542358,"HEX",5.70688486099243,3.19055795669556,12530,46,12484,"NP-Inf",02/03/21,"Newport"
"20074","NP-Inf-2-4-21-A","N1",0.517812788486481,"FAM",1.05865252017975,0.202782839536667,13635,6,13629,"NP-Inf",02/04/21,"Newport"
"20075","NP-Inf-2-4-21-A","N2",0.345183163881302,"FAM/HEX",0.814017772674561,0.104148358106613,13635,4,13631,"NP-Inf",02/04/21,"Newport"
"20076","NP-Inf-2-4-21-A","RP",4.40868997573853,"HEX",5.737473487854,3.30358362197876,13635,51,13584,"NP-Inf",02/04/21,"Newport"
"20077","NP-Inf-2-4-21-A","N1",0.361712694168091,"FAM",0.85300624370575,0.10913509875536,13012,4,13008,"NP-Inf",02/04/21,"Newport"
"20078","NP-Inf-2-4-21-A","N2",0,"FAM/HEX",0.270912379026413,0,13012,0,13012,"NP-Inf",02/04/21,"Newport"
"20079","NP-Inf-2-4-21-A","RP",3.53145170211792,"HEX",4.76415824890137,2.53287768363953,13012,39,12973,"NP-Inf",02/04/21,"Newport"
"20209","NP-Inf-2-10-21-A","N1",1.04435920715332,"FAM",1.75792849063873,0.556441068649292,13524,12,13512,"NP-Inf",02/10/21,"Newport"
"20210","NP-Inf-2-10-21-A","N2",0.95729386806488,"FAM/HEX",1.64624392986298,0.494214475154877,13524,11,13513,"NP-Inf",02/10/21,"Newport"
"20211","NP-Inf-2-10-21-A","RP",3.3975625038147,"HEX",4.58344221115112,2.43688702583313,13524,39,13485,"NP-Inf",02/10/21,"Newport"
"20212","NP-Inf-2-10-21-A","N1",0.300490528345108,"FAM",0.796568095684052,0.0713094770908356,11747,3,11744,"NP-Inf",02/10/21,"Newport"
"20213","NP-Inf-2-10-21-A","N2",0.400671124458313,"FAM/HEX",0.944900870323181,0.120888143777847,11747,4,11743,"NP-Inf",02/10/21,"Newport"
"20214","NP-Inf-2-10-21-A","RP",4.01286506652832,"HEX",5.39454936981201,2.89079403877258,11747,40,11707,"NP-Inf",02/10/21,"Newport"
"20245","NP-Inf-2-11-21-A","N1",1.92473089694977,"FAM",2.82683897018433,1.23891460895538,14070,23,14047,"NP-Inf",02/11/21,"Newport"
"20246","NP-Inf-2-11-21-A","N2",1.58976888656616,"FAM/HEX",2.42056632041931,0.975277721881866,14070,19,14051,"NP-Inf",02/11/21,"Newport"
"20247","NP-Inf-2-11-21-A","RP",3.26553392410278,"HEX",4.40524387359619,2.3422269821167,14070,39,14031,"NP-Inf",02/11/21,"Newport"
"20248","NP-Inf-2-11-21-A","N1",1.70431506633759,"FAM",2.5950391292572,1.04552888870239,13125,19,13106,"NP-Inf",02/11/21,"Newport"
"20249","NP-Inf-2-11-21-A","N2",1.07612228393555,"FAM/HEX",1.81141066551208,0.573360979557037,13125,12,13113,"NP-Inf",02/11/21,"Newport"
"20250","NP-Inf-2-11-21-A","RP",3.14144515991211,"HEX",4.30545949935913,2.20944571495056,13125,35,13090,"NP-Inf",02/11/21,"Newport"
"21009","NP-Inf-2-17-21-A","N1",1.40899658203125,"FAM",2.19412517547607,0.838315427303314,14203,17,14186,"NP-Inf",02/17/21,"Newport"
"21010","NP-Inf-2-17-21-A","N2",1.40899658203125,"FAM/HEX",2.19412517547607,0.838315427303314,14203,17,14186,"NP-Inf",02/17/21,"Newport"
"21011","NP-Inf-2-17-21-A","RP",4.5646333694458,"HEX",5.88503694534302,3.45894813537598,14203,55,14148,"NP-Inf",02/17/21,"Newport"
"21012","NP-Inf-2-17-21-A","N1",2.418616771698,"FAM",3.47646307945251,1.60121917724609,12660,26,12634,"NP-Inf",02/17/21,"Newport"
"21013","NP-Inf-2-17-21-A","N2",1.95311176776886,"FAM/HEX",2.91719079017639,1.22952437400818,12660,21,12639,"NP-Inf",02/17/21,"Newport"
"21014","NP-Inf-2-17-21-A","RP",4.37575101852417,"HEX",5.75478219985962,3.23760747909546,12660,47,12613,"NP-Inf",02/17/21,"Newport"
"21041","NP-Inf-2-18-21-A","N1",6.22237491607666,"FAM",7.72430562973022,4.93002080917358,14597,77,14520,"NP-Inf",02/18/21,"Newport"
"21042","NP-Inf-2-18-21-A","N2",7.51947593688965,"FAM/HEX",9.16097927093506,6.0880446434021,14597,93,14504,"NP-Inf",02/18/21,"Newport"
"21043","NP-Inf-2-18-21-A","RP",2.90506625175476,"HEX",3.96469831466675,2.05394601821899,14597,36,14561,"NP-Inf",02/18/21,"Newport"
"21044","NP-Inf-2-18-21-A","N1",7.0923900604248,"FAM",8.84205341339111,5.59166049957275,12312,74,12238,"NP-Inf",02/18/21,"Newport"
"21045","NP-Inf-2-18-21-A","N2",7.0923900604248,"FAM/HEX",8.84205341339111,5.59166049957275,12312,74,12238,"NP-Inf",02/18/21,"Newport"
"21046","NP-Inf-2-18-21-A","RP",4.11604785919189,"HEX",5.47789430618286,3.00185799598694,12312,43,12269,"NP-Inf",02/18/21,"Newport"
"21271","NP-Inf-2-24-21-A","N1",0.254895597696304,"FAM",0.675679087638855,0.060490220785141,13848,3,13845,"NP-Inf",02/24/21,"Newport"
"21272","NP-Inf-2-24-21-A","N2",0.594842314720154,"FAM/HEX",1.15869045257568,0.252686262130737,13848,7,13841,"NP-Inf",02/24/21,"Newport"
"21273","NP-Inf-2-24-21-A","RP",3.1475784778595,"HEX",4.27842283248901,2.23655200004578,13848,37,13811,"NP-Inf",02/24/21,"Newport"
"21274","NP-Inf-2-24-21-A","N1",0.191998466849327,"FAM",0.615081667900085,0.0290857534855604,12256,2,12254,"NP-Inf",02/24/21,"Newport"
"21275","NP-Inf-2-24-21-A","N2",0.288009464740753,"FAM/HEX",0.763475298881531,0.0683478638529778,12256,3,12253,"NP-Inf",02/24/21,"Newport"
"21276","NP-Inf-2-24-21-A","RP",3.84593534469604,"HEX",5.17001724243164,2.77059578895569,12256,40,12216,"NP-Inf",02/24/21,"Newport"
"21295","NP-Inf-2-25-21-A","N1",0.295657515525818,"FAM",0.783753573894501,0.0701626613736153,11939,3,11936,"NP-Inf",02/25/21,"Newport"
"21296","NP-Inf-2-25-21-A","N2",0.394226551055908,"FAM/HEX",0.929699182510376,0.118943944573402,11939,4,11935,"NP-Inf",02/25/21,"Newport"
"21297","NP-Inf-2-25-21-A","RP",3.55280351638794,"HEX",4.84918737411499,2.51170802116394,11939,36,11903,"NP-Inf",02/25/21,"Newport"
"21298","NP-Inf-2-25-21-A","N1",0.17708595097065,"FAM",0.56730043888092,0.0268268100917339,13288,2,13286,"NP-Inf",02/25/21,"Newport"
"21299","NP-Inf-2-25-21-A","N2",0.265638947486877,"FAM/HEX",0.704163014888763,0.0630395486950874,13288,3,13285,"NP-Inf",02/25/21,"Newport"
"21300","NP-Inf-2-25-21-A","RP",4.52403926849365,"HEX",5.88767623901367,3.38997721672058,13288,51,13237,"NP-Inf",02/25/21,"Newport"
"22230","NP-Inf-3-4-21-A","N1",1.66270935535431,"FAM",2.62253832817078,0.971983969211578,11329,16,11313,"NP-Inf",03/04/21,"Newport"
"22231","NP-Inf-3-4-21-A","N2",1.14286017417908,"FAM/HEX",1.9654712677002,0.589992761611938,11329,11,11318,"NP-Inf",03/04/21,"Newport"
"22232","NP-Inf-3-4-21-A","RP",2.80718684196472,"HEX",4.00935792922974,1.87383377552032,11329,27,11302,"NP-Inf",03/04/21,"Newport"
"22233","NP-Inf-3-4-21-A","N1",1.98173201084137,"FAM",3.01762843132019,1.21565771102905,11289,19,11270,"NP-Inf",03/04/21,"Newport"
"22234","NP-Inf-3-4-21-A","N2",2.08612632751465,"FAM/HEX",3.14510250091553,1.2970312833786,11289,20,11269,"NP-Inf",03/04/21,"Newport"
"22235","NP-Inf-3-4-21-A","RP",3.33957982063293,"HEX",4.64029979705811,2.30872559547424,11289,32,11257,"NP-Inf",03/04/21,"Newport"
"31094","NP-Neff-6-19-20-E","N1",0,"FAM",0.241162165999413,0,14617,0,14617,"NP-Neff",06/19/20,"Newport"
"31095","NP-Neff-6-19-20-E","N2",0,"FAM/HEX",0.241162165999413,0,14617,0,14617,"NP-Neff",06/19/20,"Newport"
"31096","NP-Neff-6-19-20-E","RP",0.483017891645432,"HEX",0.987500309944153,0.189158380031586,14617,6,14611,"NP-Neff",06/19/20,"Newport"
"31097","NP-Neff-6-19-20-E","N1",0,"FAM",0.214678898453712,0,16420,0,16420,"NP-Neff",06/19/20,"Newport"
"31098","NP-Neff-6-19-20-E","N2",0.071650817990303,"FAM/HEX",0.342243641614914,0.00300924642942846,16420,1,16419,"NP-Neff",06/19/20,"Newport"
"31099","NP-Neff-6-19-20-E","RP",0.860097944736481,"HEX",1.44769132137299,0.458282262086868,16420,12,16408,"NP-Neff",06/19/20,"Newport"
"31130","NP-San-Bay-O-6-18-20-E","N1",1.67992973327637,"FAM",2.50901889801025,1.05759596824646,14717,21,14696,"NP-San-Bay-O",06/18/20,"Newport"
"31131","NP-San-Bay-O-6-18-20-E","N2",0.87966400384903,"FAM/HEX",1.51270914077759,0.454144358634949,14717,11,14706,"NP-San-Bay-O",06/18/20,"Newport"
"31132","NP-San-Bay-O-6-18-20-E","RP",0.319801717996597,"HEX",0.75415164232254,0.0964910089969635,14717,4,14713,"NP-San-Bay-O",06/18/20,"Newport"
"31133","NP-San-Bay-O-6-18-20-E","N1",1.67293131351471,"FAM",2.45689964294434,1.07687675952911,16186,23,16163,"NP-San-Bay-O",06/18/20,"Newport"
"31134","NP-San-Bay-O-6-18-20-E","N2",1.45458793640137,"FAM/HEX",2.19267892837524,0.904469549655914,16186,20,16166,"NP-San-Bay-O",06/18/20,"Newport"
"31135","NP-San-Bay-O-6-18-20-E","RP",0.363478422164917,"HEX",0.789981782436371,0.127786219120026,16186,5,16181,"NP-San-Bay-O",06/18/20,"Newport"
"31166","NP-San-Bay-O-7-9-20-E","N1",0.593315541744232,"FAM",1.11115372180939,0.268586546182632,15867,8,15859,"NP-San-Bay-O",07/09/20,"Newport"
"31167","NP-San-Bay-O-7-9-20-E","N2",0.667501091957092,"FAM/HEX",1.20949387550354,0.318276584148407,15867,9,15858,"NP-San-Bay-O",07/09/20,"Newport"
"31168","NP-San-Bay-O-7-9-20-E","RP",1.03849864006042,"HEX",1.68624413013458,0.582781612873077,15867,14,15853,"NP-San-Bay-O",07/09/20,"Newport"
"31169","NP-San-Bay-O-7-9-20-E","N1",0.366148144006729,"FAM",0.795785129070282,0.128724694252014,16068,5,16063,"NP-San-Bay-O",07/09/20,"Newport"
"31170","NP-San-Bay-O-7-9-20-E","N2",0.512639343738556,"FAM/HEX",0.998534619808197,0.217771172523499,16068,7,16061,"NP-San-Bay-O",07/09/20,"Newport"
"31171","NP-San-Bay-O-7-9-20-E","RP",2.05189895629883,"HEX",2.91248941421509,1.38053405284882,16068,28,16040,"NP-San-Bay-O",07/09/20,"Newport"
"31202","NP-San-Bay-O-7-8-20-E","N1",0.781118273735046,"FAM",1.34320509433746,0.403276294469833,16573,11,16562,"NP-San-Bay-O",07/08/20,"Newport"
